Name,ISIN,Sector,Market,Currency,Industry
BITCOIN GROUP,DE000A1TNV91,Financial Services,EuroTLX,EUR,Asset Management
BKW,CH0130293662,Utilities,Euronext Global Equity Market,EUR,Utilities - Renewable
BLACK SEA PROPERTY,NO0013685750,Consumer Cyclical,Euronext Growth Oslo,NOK,Lodging
BLEECKER,FR0000062150,Real Estate,Euronext Paris,EUR,REIT - Diversified
BLUE SHARK POWER,FR0013340973,Utilities,Euronext Access Paris,EUR,Utilities - Renewable
BLUELINEA,FR0011041011,Healthcare,Euronext Growth Paris,EUR,Medical Devices
BLUENORD,NO0010379266,Energy,Oslo Børs,NOK,Oil & Gas E&P
BMW,DE0005190003,Consumer Cyclical,EuroTLX,EUR,Auto Manufacturers
BMW PREF,DE0005190037,Consumer Cyclical,Euronext Global Equity Market,EUR,Auto Manufacturers
BNP PARIBAS,FR0000131104,Financial Services,Trading After Hours,EUR,Banks - Regional
BNP PARIBAS FORTIS,BE0172505399,,Euronext Expert Market,EUR,
BOA CONCEPT,FR0011365907,Industrials,Euronext Growth Paris,EUR,Specialty Industrial Machinery
BODY ONE,FR0010106039,Consumer Cyclical,Euronext Access Paris,EUR,Apparel Manufacturing
BOIRON,FR0000061129,Healthcare,Euronext Paris,EUR,Drug Manufacturers - Specialty & Generic
BOIS DU LUC,BE0156880313,,Euronext Expert Market,EUR,
BOIS DU LUC 10E,BE0156881329,,Euronext Expert Market,EUR,
Boliden,SE0020050417,Basic Materials,Euronext Global Equity Market,EUR,Other Industrial Metals & Mining
BOLLORE,FR0000039299,Communication Services,Trading After Hours,EUR,Entertainment
BOLOGNAFIERE,IT0003516066,,Euronext Growth Milan,EUR,
BONDUELLE,FR0000063935,Consumer Defensive,Euronext Paris,EUR,Packaged Foods
BONHEUR,NO0003110603,Industrials,Oslo Børs,NOK,Conglomerates
BONYF,BE6333353298,,Euronext Access Paris,EUR,
BOOSTHEAT,FR001400OS22,Technology,Euronext Growth Paris,EUR,Consumer Electronics
BORGESTAD,NO0013256180,Industrials,Oslo Børs,NOK,Building Products & Equipment
BORGOSESIA,IT0003217335,Consumer Cyclical,Euronext Milan,EUR,Textile Manufacturing
BORREGAARD,NO0010657505,Basic Materials,Oslo Børs,NOK,Specialty Chemicals
BORUSSIA DORTMUND,DE0005493092,Communication Services,Trading After Hours,EUR,Entertainment
BOUFFIOULX-St-NICO,BE0014799556,,Euronext Expert Market,EUR,
BOURRELIER GROUP,FR0000054421,Consumer Cyclical,Euronext Growth Paris,EUR,Home Improvement Retail
BOURSE DIRECT,FR0000074254,Financial Services,Euronext Paris,EUR,Capital Markets
BOUVET,NO0010360266,Technology,Oslo Børs,NOK,Information Technology Services
BOUYGUES,FR0000120503,Industrials,Trading After Hours,EUR,Engineering & Construction
BPER BANCA,IT0000066123,Financial Services,Trading After Hours,EUR,Banks - Regional
BPOST,BE0974268972,Industrials,Euronext Brussels,EUR,Integrated Freight & Logistics
BQUE NAT. BELGIQUE,BE0003008019,Financial Services,Euronext Brussels,EUR,Banks - Regional
BRAGA MORO,IT0005640286,Technology,Euronext Growth Milan,EUR,Electronic Components
BREDERODE,LU1068091351,Financial Services,Euronext Brussels,EUR,Asset Management
BREMBO,NL0015001KT6,Consumer Cyclical,Euronext Milan,EUR,Auto Parts
BRENNTAG,DE000A1DAHH0,Basic Materials,Euronext Global Equity Market,EUR,Specialty Chemicals
BRIOSCHI,IT0000066180,Real Estate,Euronext Milan,EUR,Real Estate - Development
BROADPEAK,FR001400AJZ7,Technology,Euronext Growth Paris,EUR,Communication Equipment
BRUNEL INTERNAT,NL0010776944,Industrials,Euronext Amsterdam,EUR,Staffing & Employment Services
BRUNELLO CUCINELLI,IT0004764699,Consumer Cyclical,Trading After Hours,EUR,Luxury Goods
BUREAU VERITAS,FR0006174348,Industrials,Euronext Paris,EUR,Consulting Services
BURELLE,FR0000061137,Consumer Cyclical,Euronext Paris,EUR,Auto Parts
BUZZI,IT0001347308,Basic Materials,Trading After Hours,EUR,Building Materials
BYGGMA,NO0003087603,Industrials,Euronext Growth Oslo,NOK,Building Products & Equipment
C. LATTE D'ITALIA,IT0003023980,Consumer Defensive,Euronext Milan,EUR,Packaged Foods
CA Immobilien,AT0000641352,Real Estate,Euronext Global Equity Market,EUR,Real Estate Services
CA TOULOUSE 31 CCI,FR0000045544,Financial Services,Euronext Paris,EUR,Banks - Regional
CABASSE,FR001400DIY6,Technology,Euronext Growth Paris,EUR,Consumer Electronics
CABKA,NL00150000S7,Consumer Cyclical,Euronext Amsterdam,EUR,Packaging & Containers
CABKA DSC2 TS,NL00150002R5,,Euronext Amsterdam,EUR,
CABKA EUR 12W,NL00150000U3,,Euronext Amsterdam,EUR,
CABKA EUR 13W,NL00150000V1,,Euronext Amsterdam,EUR,
CADELER,DK0061412772,Industrials,Oslo Børs,NOK,Engineering & Construction
CAFOM,FR0010151589,,Euronext Growth Paris,EUR,
CAIRN HOMES PLC,IE00BWY4ZF18,Consumer Cyclical,Euronext Dublin,EUR,Residential Construction
CAIRO COMMUNICAT,IT0004329733,Communication Services,Euronext Milan,EUR,Publishing
CAIXABANK,ES0140609019,Financial Services,Trading After Hours,EUR,Banks - Regional
CALEFFI,IT0003025019,Consumer Cyclical,Euronext Milan,EUR,Textile Manufacturing
CALIBRE,FR0014004QR6,Industrials,Euronext Growth Paris,EUR,Aerospace & Defense
CALIBRE BSA K2A,FR0013507985,,Euronext Growth Paris,EUR,
CALIBRE BSA K2B,FR0013508009,,Euronext Growth Paris,EUR,
CALTAGIRONE,IT0003127930,Basic Materials,Euronext Milan,EUR,Building Materials
CALTAGIRONE EDIT,IT0001472171,Communication Services,Euronext Milan,EUR,Publishing
CAMBI,NO0010078850,,Euronext Growth Oslo,NOK,
CAMBODGE NOM.,FR001400SUB7,Financial Services,Euronext Paris,EUR,Asset Management
CAMPARI,NL0015435975,Consumer Defensive,Trading After Hours,EUR,Beverages - Wineries & Distilleries
CAMPINE,BE0003825420,Industrials,Euronext Brussels,EUR,Waste Management
CANDELA INVEST,BE0974298300,Financial Services,Euronext Growth Brussels,EUR,Asset Management
CAPGEMINI,FR0000125338,Technology,EuroTLX,EUR,Information Technology Services
CAPITAL B,FR0011053636,Technology,Euronext Growth Paris,EUR,Software - Application
CAPITAL B BSA 26,FR001400YPQ3,,Euronext Growth Paris,EUR,
CAPSOL TECHNOLOGI,NO0010923121,Industrials,Oslo Børs,NOK,Pollution & Treatment Controls
CARBIOS,FR0011648716,Basic Materials,Euronext Growth Paris,EUR,Specialty Chemicals
CARE PROPERTY INV.,BE0974273055,Real Estate,Euronext Brussels,EUR,REIT - Healthcare Facilities
CAREL INDUSTRIES,IT0005331019,Technology,Euronext Milan,EUR,Electronic Components
CARL ZEISS MEDITEC,DE0005313704,Healthcare,EuroTLX,EUR,Medical Instruments & Supplies
CARMAT,FR0010907956,,Euronext Growth Paris,EUR,
CARMILA,FR0010828137,Real Estate,Euronext Paris,EUR,REIT - Retail
CARREFOUR,FR0000120172,Consumer Defensive,Trading After Hours,EUR,Grocery Stores
CASINO BSA1,FR001400OJ72,,Euronext Paris,EUR,
CASINO BSA3,FR001400OJ98,,Euronext Paris,EUR,
CASINO GUICHARD,FR001400OKR3,Consumer Defensive,Trading After Hours,EUR,Grocery Stores
CASTA DIVA GROUP,IT0005003782,Communication Services,Euronext Growth Milan,EUR,Entertainment
Castellum,SE0000379190,Real Estate,Euronext Global Equity Market,EUR,Real Estate - Development
CATANA GROUP,FR0010193052,Consumer Cyclical,Euronext Growth Paris,EUR,Recreational Vehicles
CATERING INTL SCES,FR0000064446,Industrials,Euronext Growth Paris,EUR,Specialty Business Services
CAVENDISH HYDROGEN,NO0013219535,Utilities,Oslo Børs,NOK,Utilities - Regulated Gas
CBI,FR0014007LW0,Financial Services,Euronext Growth Paris,EUR,Asset Management
CBI BSA A,FR001400O416,,Euronext Growth Paris,EUR,
CBI BSA B,FR001400O408,,Euronext Growth Paris,EUR,
CBO TERRITORIA,FR0010193979,Real Estate,Euronext Paris,EUR,Real Estate - Diversified
CECONOMY,DE0007257503,Consumer Cyclical,Euronext Global Equity Market,EUR,Specialty Retail
CEGEDIM,FR0000053506,Healthcare,Euronext Growth Paris,EUR,Health Information Services
CELLECTIS,FR0010425595,Healthcare,Euronext Growth Paris,EUR,Biotechnology
Cellnex Telecom,ES0105066007,Real Estate,Euronext Global Equity Market,EUR,Real Estate Services
CELLULARLINE,IT0005244618,Consumer Cyclical,Euronext Milan,EUR,Auto Parts
CELYAD ONCOLOGY,BE0974260896,Healthcare,"Euronext Brussels, Paris",EUR,Biotechnology
CEMBRE,IT0001128047,Industrials,Euronext Milan,EUR,Electrical Equipment & Parts
CEMENTIR HOLDING,NL0013995087,Basic Materials,Euronext Milan,EUR,Building Materials
CENERGY,BE0974303357,Industrials,Euronext Brussels,EUR,Electrical Equipment & Parts
CERINNOV GROUP,FR0013178712,Industrials,Euronext Growth Paris,EUR,Specialty Industrial Machinery
CFE,BE0003883031,Industrials,Euronext Brussels,EUR,Engineering & Construction
CFI,FR0000037475,Real Estate,Euronext Paris,EUR,Real Estate Services
CFM INDOSUEZWEALTH,MC0010000826,Financial Services,Euronext Access Paris,EUR,Banks - Regional
CH.FER DEPARTEMENT,FR0000037871,Industrials,Euronext Access Paris,EUR,Railroads
CHARB BONNIER,BE0010381029,,Euronext Expert Market,EUR,
CHARWOOD ENERGY,FR001400AJ60,Utilities,Euronext Growth Paris,EUR,Utilities - Renewable
CHAUSSERIA,FR0000060907,,Euronext Paris,EUR,
CHEOPS TECHNOLOGY,FR0010447086,Technology,Euronext Access Paris,EUR,Information Technology Services
CHOICE,BE0974370026,Technology,Euronext Access Brussels,EUR,Software - Application
CHRISTIAN DIOR,FR0000130403,Consumer Cyclical,Euronext Paris,EUR,Luxury Goods
Chubb Ltd,CH0044328745,Financial Services,Euronext Global Equity Market,EUR,Insurance - Property & Casualty
CIBIX,BE0003706208,,Euronext Expert Market,EUR,
CIBOX INTER A CTIV,FR0000054322,Technology,Euronext Growth Paris,EUR,Computer Hardware
CIE BOIS SAUVAGE,BE0003592038,Financial Services,Euronext Brussels,EUR,Asset Management
CIE DU MONT BLANC,FR0000060428,Consumer Cyclical,Euronext Access Paris,EUR,Leisure
Cie Financiere Ric,CH0210483332,Consumer Cyclical,Euronext Global Equity Market,EUR,Luxury Goods
Cie HET ZOUTE,BE0027840017,,Euronext Expert Market,EUR,
CIECHARGEURSINVEST,FR0000130692,Industrials,Euronext Paris,EUR,Conglomerates
CIR,IT0000070786,Consumer Cyclical,Euronext Milan,EUR,Auto Parts
CIRCIO HOLDING,NO0013033795,Healthcare,Oslo Børs,NOK,Biotechnology
CIRCLE,IT0005344996,Technology,Euronext Growth Milan,EUR,Information Technology Services
CKV,BE0021556221,,Euronext Expert Market,EUR,
CLABO,IT0005091324,,Euronext Growth Milan,EUR,
CLARANOVA,FR0013426004,,Euronext Paris,EUR,
CLARIANE,FR0010386334,Healthcare,Trading After Hours,EUR,Medical Care Facilities
CLARIANT,CH0012142631,Basic Materials,Euronext Global Equity Market,EUR,Specialty Chemicals
CLASS EDITORI,IT0005117848,Communication Services,Euronext Milan,EUR,Publishing
CLEANBNB,IT0005377277,Real Estate,Euronext Growth Milan,EUR,Real Estate Services
CLOUDBERRY CLEAN,NO0010876642,,Oslo Børs,NOK,
CLOUDIA RESEARCH,IT0005577090,Technology,Euronext Growth Milan,EUR,Information Technology Services
CM.COM,NL0012747059,Technology,Euronext Amsterdam,EUR,Software - Application
CMB.TECH,BE0003816338,Energy,Oslo Børs,NOK,Oil & Gas Midstream
CMG CLEANTECH,FR0013406881,,Euronext Access Paris,EUR,
CNH INDUSTRIAL,NL0010545661,Industrials,Trading After Hours,EUR,Farm & Heavy Construction Machinery
CO.BR.HA,BE0003519270,Consumer Defensive,Euronext Growth Brussels,EUR,Beverages - Brewers
Coca-ColaEuropacif,GB00BDCPN049,Consumer Defensive,Euronext Amsterdam,EUR,Beverages - Non-Alcoholic
CODELAB CAPITAL,NO0013483503,Healthcare,Euronext Growth Oslo,NOK,Health Information Services
COFACE,FR0010667147,Financial Services,Trading After Hours,EUR,Insurance - Reinsurance
COFIDUR,FR0013257409,Technology,Euronext Growth Paris,EUR,Electronic Components
COFINIMMO,BE0003593044,Real Estate,Euronext Brussels,EUR,REIT - Healthcare Facilities
COFLE,IT0005465619,Consumer Cyclical,Euronext Growth Milan,EUR,Auto Parts
COGEFEED,IT0005618043,,Euronext Growth Milan,EUR,
COGELEC,FR0013335742,Technology,Euronext Growth Paris,EUR,Communication Equipment
COGRA,FR0011071570,Basic Materials,Euronext Growth Paris,EUR,Lumber & Wood Production
COHERIS,FR0004031763,Technology,Euronext Paris,EUR,Software - Application
COIL,BE0160342011,Basic Materials,Euronext Growth Paris,EUR,Aluminum
COLIPAYS,FR0010959684,Consumer Cyclical,Euronext Access Paris,EUR,Internet Retail
Colonial SFL,ES0139140174,Real Estate,Euronext Global Equity Market,EUR,REIT - Office
COLRUYT,BE0974256852,Consumer Defensive,Euronext Brussels,EUR,Grocery Stores
COM.TEL,IT0005632945,Technology,Euronext Growth Milan,EUR,Information Technology Services
COMER INDUSTRIES,IT0005246191,Industrials,Euronext Milan,EUR,Farm & Heavy Construction Machinery
COMMERCIALE BELGE,BE0013068706,,Euronext Expert Market,EUR,
COMMERZBANK,DE000CBK1001,Financial Services,Trading After Hours,EUR,Banks - Regional
COMPAGNIA  CARAIBI,IT0005453235,Consumer Defensive,Euronext Growth Milan,EUR,Beverages - Wineries & Distilleries
COMPAGNIE ODET,FR0000062234,Communication Services,Euronext Paris,EUR,Entertainment
CONDOR TECHNOLOG,BE6252013725,,Euronext Access Paris,EUR,
CONDURIL,PTCDU0AE0003,Industrials,Euronext Access Lisbon,EUR,Engineering & Construction
CONFINVEST,IT0005379604,Financial Services,Euronext Growth Milan,EUR,Capital Markets
CONSORT NT,FR0000077828,,Euronext Access Paris,EUR,
CONSTELLATION OIL,NO0013597419,Energy,Euronext Growth Oslo,NOK,Oil & Gas Drilling
CONSTRUCTEURS BOIS,FR00140007I9,Real Estate,Euronext Access Paris,EUR,Real Estate - Development
CONTEXTVISION,SE0014731154,Healthcare,Oslo Børs,NOK,Health Information Services
CONTINENT. LAND CY,NL0000121622,,Euronext Expert Market,EUR,
CONTINENTAL,DE0005439004,Consumer Cyclical,Trading After Hours,EUR,Auto Parts
CONVERGENZE,IT0005426215,Communication Services,Euronext Growth Milan,EUR,Telecom Services
COPERNICO,IT0005379406,Financial Services,Euronext Growth Milan,EUR,Asset Management
CORBION,NL0010583399,Basic Materials,Trading After Hours,EUR,Specialty Chemicals
CORE SPAIN HOLDCO,ES0105660007,,Euronext Access Paris,EUR,
COREP LIGHTING,FR0010035816,,Euronext Access Paris,EUR,
CORESTATE CAPITAL,LU1296758029,Real Estate,Trading After Hours,EUR,Real Estate Services
CORETECH 5,FR0013371507,Financial Services,Euronext Access Paris,EUR,Asset Management
CORTICEIRA AMORIM,PTCOR0AE0006,Basic Materials,Euronext Lisbon,EUR,Lumber & Wood Production
COURBET HERITAGE,FR0004998318,Financial Services,Euronext Access Paris,EUR,Asset Management
COURTOIS,FR0000065393,Real Estate,Euronext Paris,EUR,Real Estate Services
COVESTRO,DE0006062144,Basic Materials,Euronext Global Equity Market,EUR,Specialty Chemicals
COVIVIO,FR0000064578,Real Estate,Euronext Paris,EUR,REIT - Diversified
COVIVIO HOTELS,FR0000060303,Real Estate,Euronext Paris,EUR,REIT - Hotel & Motel
CP 76 PETROFINA,BE0099150162,,Euronext Expert Market,EUR,
CP 79 PETROFINA,BE0099395676,,Euronext Expert Market,EUR,
CPI(SUB)C20,BE0970191947,,Euronext Brussels,EUR,
CPIEUROPE,AT0000A21KS2,Real Estate,Euronext Global Equity Market,EUR,Real Estate - Diversified
CRCAM ALP.PROV.CCI,FR0000044323,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM ATL.VEND.CCI,FR0000185506,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM BRIE PIC2CCI,FR0010483768,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM ILLE-VIL.CCI,FR0000045213,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM LANGUED CCI,FR0010461053,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM LOIRE HTE L.,FR0000045239,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM MORBIHAN CCI,FR0000045551,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM NORD CCI,FR0000185514,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM NORM.SEINE,FR0000044364,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM PARIS ET IDF,FR0000045528,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM SUD R.A.CCI,FR0000045346,Financial Services,Euronext Paris,EUR,Banks - Regional
CRCAM TOURAINE CCI,FR0000045304,Financial Services,Euronext Paris,EUR,Banks - Regional
CREACTIVES GROUP,IT0005408593,Technology,Euronext Growth Milan,EUR,Software - Application
CREDEM,IT0003121677,Financial Services,Euronext Milan,EUR,Banks - Regional
CREDIMO,BE0015460372,,Euronext Expert Market,EUR,
CREDIMO HOLDING,BE0162868054,,Euronext Expert Market,EUR,
CREDIT AGRICOLE,FR0000045072,Financial Services,Trading After Hours,EUR,Banks - Regional
CRESCENT,BE0003836534,Technology,Euronext Brussels,EUR,Communication Equipment
CRH PLC 5PCCumPref,IE0001827264,,Euronext Growth Dublin,EUR,
CROSSJECT,FR0011716265,Healthcare,Euronext Growth Paris,EUR,Medical Instruments & Supplies
CROSSJECT BS27,FR001400UR90,,Euronext Growth Paris,EUR,
CROSSWOOD,FR0000050395,Real Estate,Euronext Paris,EUR,Real Estate Services
CROWDFUNDME,IT0005353575,Financial Services,Euronext Growth Milan,EUR,Asset Management
CS BRUX,BE0010566900,,Euronext Expert Market,EUR,
CSP INT IND CALZE,IT0001127874,Consumer Cyclical,Euronext Milan,EUR,Apparel Manufacturing
CTAC,NL0000345577,Technology,Euronext Amsterdam,EUR,Information Technology Services
CTP,NL00150006R6,,Trading After Hours,EUR,
CTS Eventim,DE0005470306,Communication Services,Euronext Global Equity Market,EUR,Entertainment
CTT CORREIOS PORT,PTCTT0AM0001,Industrials,Trading After Hours,EUR,Integrated Freight & Logistics
CUBE LABS,IT0005532483,Financial Services,Euronext Growth Milan,EUR,Asset Management
CULTI MILANO,IT0005257347,Consumer Cyclical,Euronext Growth Milan,EUR,Luxury Goods
CUMULEX,BE0003463685,Consumer Defensive,Euronext Brussels,EUR,Confectioners
CUMULEX (ben/win),BE0010026350,,Euronext Expert Market,EUR,
CUREVAC,NL0015436031,Healthcare,Trading After Hours,EUR,Biotechnology
CVC CAPITAL,JE00BRX98089,Financial Services,Euronext Amsterdam,EUR,Asset Management
CY4GATE,IT0005412504,Technology,Euronext Milan,EUR,Software - Infrastructure
CYBEROO,IT0005546103,Technology,Euronext Growth Milan,EUR,Software - Infrastructure
CYVIZ,NO0010015175,Technology,Euronext Growth Oslo,NOK,Computer Hardware
D'AMICO,LU2592315662,Industrials,Euronext Milan,EUR,Marine Shipping
D'IETEREN GROUP,BE0974259880,Consumer Cyclical,Trading After Hours,EUR,Auto & Truck Dealerships
D.L.S.I.,FR0010404368,Industrials,Euronext Growth Paris,EUR,Staffing & Employment Services
DAIMLER TRUCK HD,DE000DTR0CK8,Industrials,Euronext Global Equity Market,EUR,Farm & Heavy Construction Machinery
DAMARIS,FR0000077885,,Euronext Access Paris,EUR,
DAMARTEX,FR0000185423,Consumer Cyclical,Euronext Growth Paris,EUR,Apparel Retail
DANIELI & C,IT0000076502,Industrials,Euronext Milan,EUR,Specialty Industrial Machinery
DANIELI & C RISP,IT0000076486,Industrials,Euronext Milan,EUR,Specialty Industrial Machinery
DANONE,FR0000120644,Consumer Defensive,Trading After Hours,EUR,Packaged Foods
DASSAULT AVIATION,FR0014004L86,Industrials,Trading After Hours,EUR,Aerospace & Defense
DASSAULT SYSTEMES,FR0014003TT8,Technology,EuroTLX,EUR,Software - Application
DATALOGIC,IT0004053440,Technology,Euronext Milan,EUR,Scientific & Technical Instruments
DATRIX,IT0005468357,Technology,Euronext Growth Milan,EUR,Software - Infrastructure
DBA GROUP,IT0005285942,Industrials,Euronext Growth Milan,EUR,Engineering & Construction
DBT,FR001400LO86,Industrials,Euronext Growth Paris,EUR,Specialty Industrial Machinery
DBV TECHNOLOGIES,FR0010417345,Healthcare,Euronext Paris,EUR,Biotechnology
DE'LONGHI,IT0003115950,Consumer Cyclical,Euronext Milan,EUR,"Furnishings, Fixtures & Appliances"
DECEUNINCK,BE0003789063,Industrials,Euronext Brussels,EUR,Building Products & Equipment
DEDEM,IT0005659724,Consumer Cyclical,Euronext Growth Milan,EUR,Leisure
DEEP VALUE DRILLER,NO0010955917,Energy,Euronext Growth Oslo,NOK,Oil & Gas Drilling
DEEZER,FR001400AYG6,Communication Services,Euronext Paris,EUR,Entertainment
DEEZER WARRANTS,FR0014004JF6,,Euronext Paris,EUR,
DEKUPLE,FR0000062978,Communication Services,Euronext Paris,EUR,Advertising Agencies
DELFINGEN,FR0000054132,Consumer Cyclical,Euronext Growth Paris,EUR,Auto Parts
DELIVERY HERO,DE000A2E4K43,Consumer Cyclical,EuroTLX,EUR,Internet Retail
DELLIA GROUP,NO0012697095,Consumer Defensive,Oslo Børs,NOK,Packaged Foods
DELTA PLUS GROUP,FR0013283108,,Euronext Growth Paris,EUR,
DEME GROUP,BE0974413453,Industrials,Euronext Brussels,EUR,Engineering & Construction
DEODATO.GALLERY,IT0005528937,Consumer Cyclical,Euronext Growth Milan,EUR,Leisure
DERICHEBOURG,FR0000053381,Industrials,Trading After Hours,EUR,Waste Management
DESERT CONTROL,NO0010963275,Basic Materials,Euronext Growth Oslo,NOK,Agricultural Inputs
DESTINATION ITALIA,IT0005454027,Consumer Cyclical,Euronext Growth Milan,EUR,Travel Services
DEUTSCHE BANK,DE0005140008,Financial Services,Trading After Hours,EUR,Banks - Regional
DEUTSCHE BOERSE,DE0005810055,Financial Services,EuroTLX,EUR,Financial Data & Stock Exchanges
DEUTSCHE EUROSHOP,DE0007480204,Real Estate,Trading After Hours,EUR,Real Estate Services
DEUTSCHE LUFTHANSA,DE0008232125,Industrials,Euronext Global Equity Market,EUR,Airlines
DEUTSCHE POST,DE0005552004,Industrials,Trading After Hours,EUR,Integrated Freight & Logistics
DEUTSCHE ROHSTOFF,DE000A0XYG76,Energy,Euronext Global Equity Market,EUR,Oil & Gas E&P
DEUTSCHE TELEKOM,DE0005557508,Communication Services,Euronext Global Equity Market,EUR,Telecom Services
DEUTSCHE WOHNEN,DE000A0HN5C6,Real Estate,Euronext Global Equity Market,EUR,Real Estate Services
DEUTZ,DE0006305006,Industrials,EuroTLX,EUR,Specialty Industrial Machinery
DEVERNOIS,FR0000060840,Consumer Cyclical,Euronext Growth Paris,EUR,Apparel Manufacturing
DEXELANCE,IT0005543480,Consumer Cyclical,Euronext Milan,EUR,"Furnishings, Fixtures & Appliances"
DEXIA HOLDING,BE0974290224,,Euronext Expert Market,EUR,
DHH,IT0005203622,Technology,Euronext Growth Milan,EUR,Software - Infrastructure
DIADEMA CAPITAL,IT0005605636,Industrials,Euronext Growth Milan,EUR,Consulting Services
DIAGNOSTIC MEDICAL,FR0012202497,Healthcare,Euronext Growth Paris,EUR,Medical Devices
DIASORIN,IT0003492391,Healthcare,Trading After Hours,EUR,Diagnostics & Research
DIEGEM KENNEDYCERT,BE0003698124,Real Estate,Euronext Brussels,EUR,Real Estate Services
DIERK. ANTWERP.,BE0036367895,,Euronext Expert Market,EUR,
DIERKUNDE ANTW,BE0026342551,,Euronext Expert Market,EUR,
DIGITAL BROS,IT0001469995,Communication Services,Euronext Milan,EUR,Electronic Gaming & Multimedia
DIGITAL VALUE,IT0005347429,Technology,Euronext Milan,EUR,Information Technology Services
DIGITOUCH,IT0005089476,Communication Services,Euronext Growth Milan,EUR,Advertising Agencies
DIRECTA SIM,IT0001463063,Financial Services,Euronext Growth Milan,EUR,Capital Markets
DIS ELET ADRIATICA,IT0005600249,,Euronext Growth Milan,EUR,
DISTRI-LAND CERT,BE0003605160,,Euronext Brussels,EUR,
DNB BANK,NO0010161896,Financial Services,Oslo Børs,NOK,Banks - Regional
DNO,NO0003921009,Energy,Oslo Børs,NOK,Oil & Gas E&P
DNXCORP,FR0010436584,Communication Services,Euronext Growth Paris,EUR,Internet Content & Information
DO & CO AG,AT0000818802,Industrials,Euronext Global Equity Market,EUR,Airports & Air Services
DOCK.PETR.AMBES AM,FR0000065260,Energy,Euronext Paris,EUR,Oil & Gas Refining & Marketing
DOF GROUP,NO0012851874,Industrials,Oslo Børs,NOK,Engineering & Construction
DOLFINES,FR001400SP13,Energy,Euronext Growth Paris,EUR,Oil & Gas Equipment & Services
DOLPHIN DRILLING,NO0012595950,Energy,Euronext Growth Oslo,NOK,Oil & Gas Drilling
DONEGAL INVESTMENT,IE000Y2HN3O9,Consumer Defensive,Euronext Growth Dublin,EUR,Farm Products
DONTNOD,FR0013331212,Communication Services,Euronext Growth Paris,EUR,Electronic Gaming & Multimedia
DOTSTAY,IT0005523839,Real Estate,Euronext Growth Milan,EUR,Real Estate Services
DOVALUE,IT0005610958,Financial Services,Euronext Milan,EUR,Asset Management
DOXEE,IT0005394413,Technology,Euronext Growth Milan,EUR,Software - Infrastructure
DRONE VOLT,FR001400SVN0,Technology,Euronext Growth Paris,EUR,Computer Hardware
DRONE VOLT BS28,FR0014007951,,Euronext Growth Paris,EUR,
DRONE VOLT BSA,FR001400YNA2,,Euronext Growth Paris,EUR,
DRONE VOLT BSA,FR0014011219,,Euronext Growth Paris,EUR,
DSM FIRMENICH AG,CH1216478797,Basic Materials,Euronext Amsterdam,EUR,Specialty Chemicals
DURR,DE0005565204,Industrials,Trading After Hours,EUR,Specialty Industrial Machinery
DYNAFOND,FR0000052920,,Euronext Access Paris,EUR,
DYNEX ENERGY SA,LU0881232630,,Euronext Access Paris,EUR,
E PANGO,FR0014004339,Utilities,Euronext Growth Paris,EUR,Utilities - Renewable
E-GLOBE,IT0005557514,Industrials,Euronext Growth Milan,EUR,Building Products & Equipment
E-NOVIA,IT0005391229,,Euronext Growth Milan,EUR,
E.ON,DE000ENAG999,Utilities,Euronext Global Equity Market,EUR,Utilities - Diversified
E.P.H.,IT0005623845,Consumer Cyclical,Euronext Milan,EUR,Internet Retail
E.T.S.,IT0005669558,Industrials,Euronext Growth Milan,EUR,Engineering & Construction
EAGLEFOOTBALLGROUP,FR0010428771,Communication Services,Euronext Paris,EUR,Entertainment
EAM SOLAR,NO0013601245,Utilities,Euronext Growth Oslo,NOK,Utilities - Renewable
EASE2PAY NV,NL0000345627,Technology,Euronext Amsterdam,EUR,Software - Infrastructure
Eaton Corp PLC,IE00B8KQN827,Industrials,Euronext Global Equity Market,EUR,Specialty Industrial Machinery
EAUX DE ROYAN,FR0007200100,Utilities,Euronext Access Paris,EUR,Utilities - Regulated Water
EAVS,FR0010536185,,Euronext Access Paris,EUR,
EBUSCO HOLDING,NL0015002AG2,Consumer Cyclical,Euronext Amsterdam,EUR,Auto Manufacturers
ECFC,BE0003783975,,Euronext Expert Market,EUR,
ECKERT & ZIEGLER,DE0005659700,Healthcare,Euronext Global Equity Market,EUR,Medical Devices
ECOLUTIONS,DE000A0XYM45,,Euronext Access Paris,EUR,
ECOMEMBRANE,IT0005543332,Consumer Cyclical,Euronext Growth Milan,EUR,Packaging & Containers
ECOMIAM,FR0013534617,Consumer Defensive,Euronext Growth Paris,EUR,Food Distribution
ECONOCOM GROUP,BE0974313455,Technology,Euronext Brussels,EUR,Information Technology Services
